Andy Warhol,https://www.warhol.org/,https://en.wikipedia.org/wiki/Andy_Warhol,https://www.biography.com/people/andy-warhol-9523875,www.theartstory.org/artist-warhol-andy.htm,Highsnobiety,Refinery29,Wilkes Barre Times-Leader,warholfoundation.org/,warholfoundation.org/legacy/biography.html,https://www.artsy.net/artist/andy-warhol,www.artnet.com/artists/andy-warhol/
FRANK GEHRY,https://www.foga.com/,https://en.wikipedia.org/wiki/Frank_Gehry,https://www.architecturaldigest.com/.../best-of-frank-gehry-slideshow,https://www.biography.com/people/frank-gehry-9308278,Pitchfork,The Boston Globe,newyorkbygehry.com/,www.archdaily.com/tag/frank-gehry,https://www.ted.com/talks/frank_gehry_asks_then_what,https://www.fastcodesign.com/.../9-things-you-didnt-know-about-frank-gehry
Frank Gehry,https://www.foga.com/,https://en.wikipedia.org/wiki/Frank_Gehry,https://www.architecturaldigest.com/.../best-of-frank-gehry-slideshow,https://www.biography.com/people/frank-gehry-9308278,Pitchfork,The Boston Globe,newyorkbygehry.com/,www.archdaily.com/tag/frank-gehry,https://www.ted.com/talks/frank_gehry_asks_then_what,https://www.fastcodesign.com/.../9-things-you-didnt-know-about-frank-gehry
EdRuscha,https://en.wikipedia.org/wiki/Edward_Ruscha,https://www.artsy.net/artist/ed-ruscha,https://www.gagosian.com/artists/ed-ruscha,www.artnet.com/artists/ed-ruscha/,https://www.newyorker.com/magazine/2013/07/01/ed-ruschas-l-a,www.artspace.com/ed_ruscha,www.getty.edu/art/exhibitions/focus_ruscha/,www.theartstory.org/artist-ruscha-ed.htm,https://www.moma.org/artists/5086
Yayoi Kusama,Seattle Times,Malay Mail Online,www.yayoi-kusama.jp/e/information/,https://en.wikipedia.org/wiki/Yayoi_Kusama,www.davidzwirner.com/artists/yayoi-kusama,https://www.victoria-miro.com/artists/31-yayoi-kusama/,www.artnet.com/artists/yayoi-kusama/,https://www.nytimes.com/2017/02/.../yayoi-kusama-infinity-mirrors.html?...,www.latimes.com/.../la-et-cm-broad-kusama-tickets-20170717-htmlstory. html,https://www.artsy.net/artist/yayoi-kusama
Ed Ruscha,https://en.wikipedia.org/wiki/Edward_Ruscha,https://www.artsy.net/artist/ed-ruscha,https://www.gagosian.com/artists/ed-ruscha,www.artnet.com/artists/ed-ruscha/,https://www.newyorker.com/magazine/2013/07/01/ed-ruschas-l-a,www.artspace.com/ed_ruscha,www.getty.edu/art/exhibitions/focus_ruscha/,www.theartstory.org/artist-ruscha-ed.htm,https://www.moma.org/artists/5086
Yoko Ono,imaginepeace.com/,https://en.wikipedia.org/wiki/Yoko_Ono,https://twitter.com/yokoono,https://www.facebook.com/yokoonopage/,www.telegraph.co.uk/.../Yoko-Ono-Johns-affair-wasnt-hurtful-to-me.-I- needed-a-rest.-I-needed-space.html,https://www.biography.com/people/yoko-ono-9542162,https://www.discogs.com/artist/42754-Yoko-Ono,www.rollingstone.com/music/artists/yoko-ono,https://www.nytimes.com/.../yoko-ono-to-share-credit-for-imagine-john- lennon.html?...
Keith Haring,www.haring.com/,https://en.wikipedia.org/wiki/Keith_Haring,New York Times,Architectural Digest,https://www.artsy.net/artist/keith-haring,www.theartstory.org/artist-haring-keith.htm,https://www.biography.com/people/keith-haring-246006,www.artnet.com/artists/keith-haring/,www.art.com/gallery/id--a82/keith-haring-posters.htm,www.nytimes.com/.../keith-haring-artist-dies-at-31-career-began-in-subway- graffiti.html
Zaha Hadid,www.zaha-hadid.com/,https://en.wikipedia.org/wiki/Zaha_Hadid,www.dezeen.com/tag/zaha-hadid/,https://www.nytimes.com/2016/04/01/.../zaha-hadid-architect-dies.html?...1,https://www.theguardian.com/.../star-architect-zaha-hadid-dies-aged-65,www.telegraph.co.uk/travel/.../zaha-hadid-unfinished-buildings/,www.telegraph.co.uk/.../zaha-hadid-pioneering-architect-impressive- buildings/,www.independent.co.uk/.../zaha-hadid-google-doodle-buildings-celebration- architecture-qatar-london-stadiums-centres-a7764071.html,www.archdaily.com/tag/zaha-hadid/
Michael Jackson,https://michaeljackson.com/,https://en.wikipedia.org/wiki/Michael_Jackson,Daily Mail,TMZ.com,SYFY WIRE,https://www.facebook.com/michaeljackson/,https://www.youtube.com/user/michaeljackson,https://twitter.com/michaeljackson?lang=en,www.imdb.com/name/nm0001391/,https://www.biography.com/people/michael-jackson-38211,https://pitchfork.com/artists/2237-michael-jackson/
Bob Dylan,https://www.bobdylan.com/,https://en.wikipedia.org/wiki/Bob_Dylan,Minneapolis Star Tribune,EW.com,Paste Magazine,https://www.facebook.com/bobdylan/,https://twitter.com/bobdylan?lang=en,www.rollingstone.com/music/artists/bob-dylan,www.expectingrain.com/,www.allmusic.com/artist/bob-dylan-mn0000066915,https://open.spotify.com/artist/74ASZWbe4lXaubB36ztrGX
Louise Bourgeois,https://en.wikipedia.org/wiki/Louise_Bourgeois,www.theartstory.org/artist-bourgeois-louise.htm,https://www.moma.org/explore/collection/lb/index,https://www.moma.org/explore/collection/lb/about/biography,https://www.artsy.net/artist/louise-bourgeois,www.cheimread.com/artists/louise-bourgeois,https://www.nytimes.com/.../a-look-inside-louise-bourgeoiss-home-just-how- she-left-it.html?...,www.nytimes.com/2010/06/01/arts/design/01bourgeois.html?mcubz=3,www.artnet.com/artists/louise-bourgeois/
Vincent van Gogh,https://en.wikipedia.org/wiki/Vincent_van_Gogh,https://www.biography.com/people/vincent-van-gogh-9515695,https://www.vangoghmuseum.nl/en/vincents-life-and-work,www.vangoghgallery.com/misc/biography.html,https://www.artsy.net/artist/vincent-van-gogh,www.metmuseum.org/toah/hd/gogh/hd_gogh.htm,https://www.vincent-van-gogh-gallery.org/,www.theartstory.org/artist-van-gogh-vincent.htm,https://www.vangogh.net/
Mark Rothko,www.markrothko.org/,https://en.wikipedia.org/wiki/Mark_Rothko,https://www.nga.gov/feature/rothko/,https://www.artsy.net/artist/mark-rothko,www.theartstory.org/artist-rothko-mark.htm,https://www.guggenheim.org/artwork/artist/mark-rothko,www.art.com/gallery/id--a4/mark-rothko-posters.htm,https://www.newyorker.com/.../the-dark-final-years-of-mark-rothko,www.mark-rothko.org/
Roy Lichtenstein,lichtensteinfoundation.org/,https://en.wikipedia.org/wiki/Roy_Lichtenstein,www.theartstory.org/artist-lichtenstein-roy.htm,www.theartstory.org/artist-lichtenstein-roy-artworks.htm,https://www.artsy.net/artist/roy-lichtenstein,www.artnet.com/artists/roy-lichtenstein/,https://www.biography.com/people/roy-lichtenstein-9381678,www.art.com/gallery/id--a79/roy-lichtenstein-posters.htm,www.npr.org/2012/10/15/.../one-dot-at-a-time-lichtenstein-made-art-pop
Frida Kahlo,https://en.wikipedia.org/wiki/Frida_Kahlo,https://www.biography.com/people/frida-kahlo-9359496,https://www.fridakahlo.org/,Refinery29,AOL,Mental Floss,www.pbs.org/weta/fridakahlo/life/,www.fridakahlo.it/,www.theartstory.org/artist-kahlo-frida.htm,https://www.frida-kahlo-foundation.org/biography.html,https://www.frida-kahlo-foundation.org/
Richard Prince,www.richardprince.com/,https://en.wikipedia.org/wiki/Richard_Prince,https://www.gagosian.com/artists/richard-prince,https://www.artsy.net/artist/richard-prince,www.artnet.com/artists/richard-prince/,https://www.nytimes.com/.../richard-prince-instagram-copyright-lawsuit.html ?...,www.theartstory.org/artist-prince-richard.htm,https://www.theguardian.com/.../instagram-artist-richard-prince-selfies,https://petapixel.com/.../photographers-copyright-suit-richard-princes- instagram-art-go-ahead/
Gerhard Richter,https://www.gerhard-richter.com/en/,https://www.gerhard-richter.com/en/art/paintings,https://www.gerhard-richter.com/en/art,https://en.wikipedia.org/wiki/Gerhard_Richter,https://www.artsy.net/artist/gerhard-richter,www.theartstory.org/artist-richter-gerhard.htm,www.tate.org.uk/art/artists/gerhard-richter-1841,www.artnet.com/artists/gerhard-richter/,https://www.youtube.com/watch?v=yF6EluMNR14
John Cage,johncage.org/,https://en.wikipedia.org/wiki/John_Cage,https://www.britannica.com/biography/John-Cage,www.pbs.org/wnet/americanmasters/john-cage-about-the.../471/,www.theartstory.org/artist-cage-john.htm,https://www.theguardian.com/.../john-cage-contemporary-music-guide,https://www.youtube.com/watch?v=JTEFKFiXSx4,https://www.youtube.com/watch?v=gXOIkT1-QWY,www.allmusic.com/artist/john-cage-mn0000183867/biography
